Name,Disaster,Begin Date,End Date,Total CPI-Adjusted Cost (Millions of Dollars),Deaths,Year 
Hurricane Katrina (August 2005),Tropical Cyclone,8/25/2005,8/30/2005,163761.8,1833,2005
Hurricane Dennis (July 2005),Tropical Cyclone,7/9/2005,7/11/2005,3268.5,15,2005
Southeast Severe Weather (March 2005),Severe Storm,3/24/2005,3/27/2005,1133.3,0,2005
Hurricane Jeanne (September 2004),Tropical Cyclone,9/15/2004,9/29/2004,10045.5,28,2004
Hurricane Ivan (September 2004),Tropical Cyclone,9/12/2004,9/21/2004,27470.8,57,2004
Hurricane Frances (September 2004),Tropical Cyclone,9/3/2004,9/9/2004,13132,48,2004
Hurricane Charley (August 2004),Tropical Cyclone,8/13/2004,8/14/2004,21439.3,35,2004
"Severe Storms, Hail, Tornadoes (May 2004)",Severe Storm,5/21/2004,5/27/2004,1358.6,4,2004
California Wildfires (Fall 2003),Wildfire,9/1/2003,11/30/2003,5330,22,2003
Western/Central Drought/Heatwave (Spring-Fall 2003),Drought,3/1/2003,11/30/2003,6845.3,35,2003
Hurricane Isabel (September 2003),Tropical Cyclone,9/18/2003,9/19/2003,7513,55,2003
Severe Weather (July 2003),Severe Storm,7/21/2003,7/23/2003,1381.1,7,2003
Midwest/Plains Severe Weather (July 2003),Severe Storm,7/4/2003,7/9/2003,1175.5,7,2003
Severe Storms/Tornadoes (May 2003),Severe Storm,5/3/2003,5/10/2003,5655.9,51,2003
Severe Storms/Hail (April 2003),Severe Storm,4/4/2003,4/7/2003,2748.5,3,2003
Western Fire Season (Fall 2002),Wildfire,9/1/2002,11/30/2002,1865.2,21,2002
U.S. Drought (Spring-Fall 2002),Drought,3/1/2002,11/30/2002,12686,0,2002
Hurricane Lili (October 2002),Tropical Cyclone,8/1/2002,8/5/2002,1557.4,2,2002
Severe Storms and Tornadoes (April 2002),Severe Storm,4/27/2002,4/28/2002,2952.3,7,2002
Tropical Storm Allison (June 2001),Tropical Cyclone,6/5/2001,6/17/2001,12101.2,43,2001
Midwest/Ohio Valley Hail and Tornadoes (April 2001),Severe Storm,4/6/2001,4/11/2001,4394.6,3,2001
Western/Central/Southeast Drought/Heatwave (Spring-Fall 2000),Drought,3/1/2000,11/30/2000,7395.8,140,2000
